Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Cash flow rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Debt ratio %, Net worth/Assets, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Operating profit per person, Working Capital to Total Assets, Cash/Total Assets, Current Liability to Assets, Operating Funds to Liability, Retained Earnings to Total Assets, Total expense/Assets, CFO to Assets, Current Liability to Current Assets, Net Income to Total Assets, Gross Profit to Sales, Equity to Liability
0,0.482474528,0.567542521,0.538197976,0.614025858,0.614025858,0.46481803,0,0.182925288,0.182925288,0.182925288,0.21896568,0.319162481,0.096490514,0.178579498,0.103576503,0.896423497,0.096471086,0.17761104,0.392754574,0.751204343,0.002056836,0.032086803,0.343679908,0.942828956,0.028802401,0.574845683,0.047166348,0.814110614,0.614021193,0.036571691
0,0.444401111,0.549716529,0.498956047,0.623711786,0.623711786,0.465490719,0,0.173865408,0.173865408,0.173865408,0.20468942,0.319869845,0.096001954,0.172478723,0.094385827,0.905614173,0.095966258,0.171525526,0.392437982,0.769113889,0.020542229,0.047994813,0.346556596,0.932955215,0.05695228,0.582902676,0.033711602,0.804886953,0.623709203,0.04038102
0,0.491151952,0.551569996,0.543390974,0.608130702,0.608137909,0.464100048,0.185241421,0.169398677,0.169398677,0.169398677,0.219343859,0.321213836,0.104877453,0.17428636,0.144662454,0.855337546,0.104857752,0.173290099,0.401845277,0.760000222,0.058218001,0.0956719,0.34578668,0.930139635,0.028981565,0.588644149,0.04351399,0.803260161,0.608125444,0.02528172
0,0.474040852,0.533307894,0.523689705,0.600577985,0.600577985,0.467198443,0,0.171547765,0.171547765,0.171547765,0.212914815,0.32231025,0.096001954,0.168863448,0.10656952,0.89343048,0.095958116,0.167860644,0.392494516,0.791909627,0.074169857,0.069166166,0.351351763,0.930763203,0.024483556,0.60190049,0.028901672,0.794157853,0.600577558,0.035464109
0,0.506703066,0.575828609,0.569837786,0.604685856,0.604685856,0.478766681,0,0.180565505,0.180565505,0.180565505,0.226434717,0.32386645,0.103167495,0.178880771,0.089639326,0.910360674,0.103180419,0.177920217,0.399923113,0.802390919,0.021194017,0.027638023,0.355891916,0.940251658,0.011941507,0.609617682,0.015553133,0.819715357,0.6046829,0.042646425
0,0.513820504,0.571085914,0.558755822,0.621773159,0.621773159,0.472093472,0.258730641,0.174328937,0.174328937,0.181787535,0.223787463,0.325564123,0.110333035,0.182420728,0.099071863,0.900928137,0.110313156,0.179828067,0.404513693,0.791990661,0.003766824,0.053385356,0.357002921,0.93354091,0.055381895,0.617759469,0.025812849,0.815418714,0.621768958,0.038353747
0,0.488909472,0.56023768,0.540285883,0.606523588,0.606523588,0.462196053,0.029456423,0.183852345,0.183852345,0.183852345,0.220194762,0.317924595,0.095757674,0.176169315,0.061281253,0.938718747,0.095754556,0.175167785,0.393726962,0.752032218,0.052866701,0.038761655,0.342066504,0.942018219,0.007678609,0.567470422,0.04629123,0.810421135,0.606524037,0.06294023
0,0.53595281,0.59043829,0.580919749,0.618450828,0.618450828,0.470061985,0.217430914,0.189541107,0.189541107,0.189541107,0.233052851,0.323159086,0.114160085,0.189274686,0.078725398,0.921274602,0.114172651,0.188288968,0.40057891,0.816363502,0.013907171,0.044637378,0.354464595,0.948858907,0.040018486,0.60065522,0.018156638,0.826642041,0.618451696,0.048821928
0,0.504070589,0.55980157,0.55864875,0.598343879,0.598343879,0.46844317,0.09555623,0.175129577,0.175129577,0.175129577,0.220005673,0.327191059,0.102108949,0.176018679,0.141336881,0.858663119,0.102113766,0.175062213,0.401754822,0.766580251,0.012801285,0.087413141,0.353137431,0.935009282,0.0200028,0.621793072,0.040083663,0.806263915,0.598344964,0.025953223
0,0.487398235,0.543720017,0.533647412,0.63625881,0.636251604,0.465163601,0.441643891,0.176478025,0.176478025,0.176478025,0.217452964,0.319905213,0.102760362,0.174512315,0.077485866,0.922514134,0.102757015,0.173531408,0.393252075,0.809073201,0.093503139,0.054771596,0.348128382,0.933563971,0.087295963,0.583805485,0.021936861,0.802551849,0.636255941,0.049622455
0,0.485253254,0.545573485,0.534664597,0.622176739,0.622256014,0.488241363,0.261058812,0.189119717,0.189119717,0.189119717,0.219343859,0.322946877,0.101213256,0.176169315,0.096350939,0.903649061,0.101169248,0.17520549,0.398317541,0.789153248,0.031924086,0.012548281,0.350828615,0.93976514,0.023529483,0.596801803,0.010940728,0.804639012,0.622177191,0.039507005
0,0.504558085,0.564489751,0.553027464,0.607446057,0.607446057,0.470644087,0.208928029,0.185453626,0.185453626,0.185453626,0.225394724,0.327084954,0.107401677,0.181667545,0.100734649,0.899265351,0.107422607,0.180665108,0.397910495,0.847345862,0.139413215,0.068526104,0.358478639,0.937920805,0.033490378,0.623489489,0.018612943,0.814011883,0.607441437,0.037680086
0,0.51201677,0.563672045,0.569034745,0.618933683,0.618933683,0.470652475,0.005567365,0.176983692,0.176983692,0.176983692,0.223220195,0.329631464,0.110007328,0.177449725,0.146506636,0.853493364,0.110036315,0.176494985,0.394009633,0.764144883,0.038272303,0.07763949,0.354722985,0.936223802,0.056786552,0.631344486,0.040394784,0.808976427,0.618933171,0.024914605
0,0.49485692,0.54813563,0.540446491,0.6095072,0.6095072,0.464264446,0.417653609,0.184400152,0.184400152,0.184400152,0.21896568,0.329383886,0.109193062,0.173834451,0.193034435,0.806965565,0.109148794,0.172860267,0.396338844,0.734030367,0.20786639,0.148790999,0.347034801,0.938561233,0.02305698,0.604224174,0.055242675,0.798103629,0.60950797,0.018005125
0,0.509969288,0.561382468,0.552599176,0.602956226,0.602956226,0.464603306,0.306913655,0.172896212,0.172896212,0.172896212,0.221896568,0.328252104,0.113834378,0.178278226,0.194515827,0.805484173,0.113830671,0.177309404,0.398046177,0.745811316,0.017860839,0.147142955,0.34765713,0.933883562,0.02884647,0.608412093,0.050170651,0.803444645,0.602951508,0.017839201
0,0.444986106,0.50365242,0.495529739,0.611762925,0.611806166,0.466873003,0,0.161307994,0.161307994,0.161307994,0.203554883,0.320435736,0.093884863,0.160653762,0.146748496,0.853251504,0.093906232,0.159678757,0.390855024,0.752991982,0.014953766,0.044651633,0.345450817,0.923742746,0.029878824,0.587388471,0.04550392,0.772908885,0.611760575,0.024868729
0,0.519280456,0.563617532,0.568606456,0.626544055,0.626544055,0.471058437,0.231096265,0.179217058,0.179217058,0.179217058,0.224260187,0.325776332,0.108378797,0.179633953,0.092057925,0.907942075,0.108407836,0.178696931,0.395502137,0.7469121,0.026006422,0.066073203,0.360232526,0.942045501,0.053100818,0.623942829,0.051481376,0.812973644,0.62654338,0.041464966
0,0.54740896,0.59305495,0.592483538,0.609737817,0.609737817,0.495880828,0.213786821,0.182630315,0.182630315,0.182630315,0.228420157,0.331895027,0.111554434,0.185960684,0.03609759,0.96390241,0.111575228,0.184986049,0.403190792,0.839002275,0.106296004,0.038373351,0.437755886,0.943096297,0.021203559,0.688184819,0.013393307,0.830176405,0.609732635,0.104842365
0,0.500853118,0.563944614,0.550564805,0.60202655,0.602293201,0.473888428,0.196376151,0.177952889,0.177952889,0.177952889,0.220572941,0.325245809,0.097141927,0.178428862,0.089578861,0.910421139,0.097138763,0.177490385,0.392867642,0.819444466,0.007991229,0.049464084,0.360145349,0.937685848,0.020951194,0.622149583,0.018802183,0.812100285,0.602027036,0.0426819
1,0.416126359,0.470235499,0.463782858,0.599115006,0.599115006,0.460246764,0,0.156209178,0.156209178,0.156209178,0.177838707,0.313185259,0.098526179,0.139639979,0.219608792,0.780391208,0.098547397,0.138624538,0.394100088,0.703730256,0.008266417,0.198285095,0.337687538,0.908947698,0.053089553,0.543739915,0.065815853,0.750430839,0.599110129,0.015348595
1,0.462194706,0.53603358,0.514427967,0.599987028,0.599987028,0.458983585,0,0.145505878,0.145505878,0.145505878,0.202514891,0.312690104,0.091930625,0.165549446,0.228890165,0.771109835,0.091911346,0.164565267,0.389814794,0.673325141,0.011060914,0.141036558,0.336370895,0.868460717,0.022401707,0.533221122,0.12488271,0.787081562,0.599983644,0.014561571
0,0.476088334,0.54448321,0.529685743,0.618868822,0.618868822,0.46320928,0,0.158695377,0.158695377,0.158695377,0.21102392,0.322345618,0.102434655,0.169993221,0.208241376,0.791758624,0.102423177,0.16899178,0.394100088,0.697045111,0.02307052,0.144464756,0.344295202,0.908330179,0.055344203,0.588965229,0.082666072,0.796022666,0.618863898,0.016403931
0,0.505874324,0.570704317,0.559826543,0.601168942,0.601176148,0.464459039,0.077032088,0.177025831,0.177025831,0.177025831,0.225394724,0.321284572,0.103248921,0.179257362,0.116848565,0.883151435,0.10308271,0.178206772,0.395909183,0.785427201,0.006430036,0.088027511,0.347232553,0.93747354,0.026124487,0.589658099,0.033441832,0.814102144,0.601169105,0.032085741
0,0.486374494,0.544755778,0.540500027,0.603475115,0.603475115,0.465754091,0.039983804,0.185875016,0.185875016,0.185875016,0.218209322,0.321036995,0.09323345,0.173081268,0.06233939,0.93766061,0.093197844,0.172091094,0.391024626,0.799890751,0.1099419,0.062985232,0.352842459,0.937101764,0.029797683,0.590130013,0.025690359,0.802923478,0.603473885,0.061886603
0,0.494369424,0.550915831,0.548583971,0.599107799,0.599107799,0.463652148,0.093835408,0.174033964,0.174033964,0.174033964,0.218682046,0.320930891,0.108215943,0.173608496,0.124104363,0.875895637,0.108204276,0.172656662,0.395762194,0.826180808,0.009640278,0.107973141,0.346264602,0.934730337,0.040701109,0.587252752,0.027009776,0.803065744,0.599106615,0.030023557
0,0.475162092,0.564544265,0.525028106,0.614278096,0.614278096,0.466757253,0,0.180186254,0.180186254,0.180186254,0.213576629,0.319763741,0.096083381,0.17767568,0.122622971,0.877377029,0.096096536,0.17669859,0.392596278,0.753131107,0.001818174,0.026824926,0.344030374,0.938233789,0.030237273,0.578065052,0.043569973,0.811257383,0.614277214,0.030431234
0,0.462925949,0.516354121,0.51710477,0.622702835,0.622529872,0.463940683,0,0.166111837,0.166111837,0.166111837,0.209794838,0.319693004,0.097141927,0.164419673,0.139281071,0.860718929,0.097106193,0.163471835,0.393206847,0.752031074,0.034649948,0.0668864,0.344159651,0.927407109,0.044445132,0.580427758,0.047146168,0.784384879,0.622697745,0.026387357
0,0.478915809,0.541321413,0.529310991,0.607042477,0.607006443,0.463568271,0.544893208,0.167502423,0.167502423,0.167502423,0.2149948,0.319551531,0.100806123,0.17172554,0.147201983,0.852798017,0.100794698,0.170778976,0.397865268,0.784658594,0.042104213,0.066789899,0.343486022,0.930539498,0.026885666,0.578092625,0.030711116,0.797743521,0.607041508,0.024780878
0,0.481060791,0.539467946,0.530863537,0.60088067,0.60088067,0.467552402,0,0.172179849,0.172179849,0.172179849,0.215372979,0.320152791,0.096897647,0.170671085,0.095383499,0.904616501,0.096918918,0.169662921,0.393240768,0.821157204,0.055163022,0.036910939,0.347423923,0.932102119,0.022711197,0.585808568,0.015303614,0.798173898,0.600876397,0.03993517
0,0.486228246,0.548026603,0.544140479,0.598444774,0.598444774,0.471709318,0,0.177110109,0.177110109,0.177110109,0.212253002,0.321426045,0.094617702,0.171273631,0.08008586,0.91991414,0.094639048,0.17031144,0.391363832,0.80096655,0.025434432,0.031842533,0.352231644,0.934363318,0.014152417,0.595318141,0.017390013,0.80137157,0.598440277,0.047959942
0,0.507824307,0.571631051,0.549226404,0.625326107,0.625326107,0.469151087,0.302560988,0.174876744,0.174876744,0.17791075,0.221612934,0.324503077,0.113671525,0.183927092,0.118874142,0.881125858,0.113651538,0.182128045,0.407464779,0.773200226,0.004233507,0.062031959,0.352201555,0.932853038,0.053386544,0.609337965,0.034282255,0.815731085,0.625326635,0.031485359
0,0.48915322,0.562690798,0.541517212,0.604411998,0.604411998,0.461857192,0,0.185074375,0.185074375,0.185074375,0.220667486,0.317853859,0.095350541,0.176621225,0.06902077,0.93097923,0.095347436,0.175680567,0.392471902,0.746585922,0.054515238,0.049789358,0.341595302,0.942100288,0.009311912,0.566729368,0.052989493,0.811426301,0.604409972,0.055857782
0,0.511188027,0.566888356,0.559077038,0.61817697,0.61817697,0.46673209,0.235752607,0.186970629,0.186970629,0.186970629,0.225489269,0.322239513,0.107238824,0.181215636,0.08664631,0.91335369,0.107243474,0.18026544,0.397401687,0.801107925,0.049665261,0.06116038,0.351270075,0.945429866,0.042633752,0.594951548,0.025041042,0.81356776,0.618177809,0.044195081
0,0.523034173,0.575883123,0.576422721,0.600347367,0.600347367,0.466916618,0.122178358,0.178964224,0.178964224,0.178964224,0.228325612,0.327120323,0.11212442,0.183023273,0.137981074,0.862018926,0.112096341,0.182022472,0.41638588,0.751569315,0.018552171,0.104974926,0.352671776,0.938496381,0.018240739,0.618380704,0.047820571,0.816256592,0.600343193,0.026673956
0,0.508848048,0.553423463,0.552920392,0.635718301,0.635718301,0.468025465,0.390120458,0.174413215,0.174413215,0.174413215,0.222842016,0.322982245,0.105040306,0.177525043,0.091150951,0.908849049,0.105028743,0.176525149,0.393715655,0.79592654,0.084808266,0.070218037,0.355067082,0.935180058,0.084879324,0.607861235,0.027989221,0.807572629,0.635717638,0.041905813
0,0.488958222,0.54900785,0.538947481,0.624317156,0.624288329,0.487182842,0.216621115,0.187097046,0.187097046,0.187097046,0.220572941,0.3219212,0.102678935,0.176922498,0.094234665,0.905765335,0.102634879,0.175929417,0.400658058,0.775479414,0.008047887,0.010947135,0.349408086,0.94055514,0.023460446,0.591717759,0.013788045,0.806666538,0.624317901,0.040449897
0,0.502120606,0.563508504,0.545853632,0.608865795,0.608865795,0.468696476,0.29588015,0.185200792,0.185200792,0.185200792,0.222842016,0.324892127,0.112042993,0.182646682,0.099676512,0.900323488,0.112055629,0.181652967,0.400680672,0.855304513,0.13360494,0.067677077,0.354695224,0.937669899,0.043792261,0.61051914,0.017567908,0.813580403,0.608863792,0.038105212
0,0.523082923,0.563344963,0.57235398,0.620944378,0.620944378,0.471281548,0.281000101,0.178753529,0.178753529,0.178753529,0.225772903,0.331470609,0.116684309,0.181065,0.14194153,0.85805847,0.116704936,0.180122163,0.395038556,0.76454758,0.051390454,0.083577917,0.35732677,0.937543557,0.058327857,0.641302798,0.040686295,0.809900026,0.620940727,0.025829305
0,0.493345683,0.550534235,0.539804058,0.610206258,0.610206258,0.460268572,0.250126531,0.185411487,0.185411487,0.185411487,0.219532949,0.312301054,0.104144614,0.175340815,0.201106509,0.798893491,0.104157506,0.174368449,0.394868954,0.736628546,0.09986268,0.1547353,0.338171621,0.939119704,0.022561731,0.548582209,0.05379309,0.799841684,0.61020212,0.017125137
0,0.505630576,0.559747056,0.549172868,0.60456334,0.60456334,0.463714216,0.244255491,0.172516961,0.172516961,0.172516961,0.218492956,0.32464455,0.11139158,0.176093997,0.184660036,0.815339964,0.111404237,0.175152703,0.39757129,0.741778104,0.008639337,0.148863536,0.346046217,0.932966188,0.030003088,0.59666358,0.051783386,0.802637951,0.6045643,0.01899811
0,0.469555891,0.527202355,0.522511912,0.619402125,0.61952464,0.464326514,0,0.159538157,0.159538157,0.159538157,0.212442091,0.319657636,0.098281899,0.166754538,0.15421592,0.84578408,0.098303125,0.165794435,0.394552362,0.732740421,0.014188683,0.061828918,0.344034207,0.9211574,0.028967961,0.581453526,0.071173171,0.78812564,0.619402912,0.023491356
0,0.523716667,0.56154601,0.568178168,0.626414333,0.626414333,0.471050049,0.353983197,0.179427753,0.179427753,0.179427753,0.223882008,0.326837377,0.111147301,0.180387136,0.091604438,0.908395562,0.111159965,0.179413317,0.39653106,0.739914837,0.033585921,0.074449813,0.36278449,0.941752414,0.04929908,0.631368408,0.057507852,0.811328898,0.626413326,0.041680209
0,0.521912933,0.564871348,0.568178168,0.609290996,0.609240548,0.468896102,0.285453993,0.178669251,0.178669251,0.178669251,0.221612934,0.321956568,0.108134517,0.17850418,0.051848717,0.948151283,0.108098425,0.177550713,0.402523688,0.820765492,0.114842024,0.054898495,0.362353433,0.937410454,0.024983799,0.602917974,0.019789517,0.812826429,0.609287662,0.074265998
0,0.503193097,0.559692543,0.550671878,0.603590424,0.603071535,0.467102824,0.27320579,0.179385614,0.179385614,0.179385614,0.221896568,0.322522459,0.098526179,0.178353544,0.093902107,0.906097893,0.098531112,0.177354649,0.39377219,0.797277117,0.00884665,0.066617814,0.352099142,0.936300905,0.015704432,0.599944144,0.027016807,0.809661363,0.603586316,0.040601054
1,0.453029786,0.516572176,0.505594518,0.596945762,0.596952968,0.462243024,0,0.156799124,0.156799124,0.156799124,0.200151272,0.318914904,0.094129143,0.158017624,0.21035765,0.78964235,0.09410165,0.157016816,0.390176613,0.715123509,0.005559438,0.089798443,0.341701948,0.920882488,0.01597916,0.571700375,0.086458323,0.777094466,0.596946466,0.016198909
1,0.472090869,0.538813781,0.517051234,0.597392583,0.597392583,0.461377419,0,0.148202773,0.148202773,0.148202773,0.206013047,0.317535545,0.095187688,0.167959629,0.235299453,0.764700547,0.095168303,0.167310158,0.391917867,0.662359963,0.020326853,0.201894138,0.340628505,0.91282594,0.020195192,0.564445275,0.09480622,0.791982245,0.597393771,0.014054216
1,0.066933164,0.057184911,0.054820922,0.601860794,0.601860794,0.458263926,0,0.120011799,0.120011799,0.120011799,0.084239387,0.30848129,0.066199821,0.067485125,0.321371346,0.678628654,0.066995619,0.072453058,0.370208724,0.692375034,0.210915212,0.252297963,0.333538683,0.841966378,0.203706253,0.491812871,0.065285749,0.525650952,0.601857115,0.00917817
1,0.406668942,0.467291758,0.453450399,0.595994465,0.595994465,0.459605949,0,0.151531752,0.151531752,0.151531752,0.175002364,0.31159369,0.069864018,0.141372298,0.221452973,0.778547027,0.069845457,0.140351406,0.368761448,0.676279736,0.04992772,0.198480138,0.336048548,0.915031112,0.06889951,0.531929133,0.083357788,0.746585997,0.595993936,0.015185546
0,0.48223078,0.544319669,0.536431286,0.618083282,0.618083282,0.462571819,0,0.156082761,0.156082761,0.156082761,0.215656613,0.319799109,0.100806123,0.17089704,0.202859993,0.797140007,0.100810982,0.169836362,0.393749576,0.72385504,0.03029461,0.112883313,0.342549639,0.903544494,0.056916081,0.576973748,0.065772709,0.797585081,0.618083746,0.016943025
0,0.488519475,0.550152638,0.540339419,0.600736534,0.600758154,0.462898937,0.170968722,0.183388816,0.183388816,0.183388816,0.22095112,0.320718681,0.105610292,0.176545906,0.141548508,0.858451492,0.104141222,0.174609758,0.396022252,0.76716291,0.016028416,0.114493576,0.344146655,0.936347817,0.028336349,0.580617244,0.041568851,0.804705531,0.60073702,0.025912547
0,0.476478331,0.533416921,0.527811981,0.604635408,0.604635408,0.467257157,0.495191821,0.181281868,0.181281868,0.181281868,0.215089345,0.31997595,0.095106262,0.170972358,0.041630136,0.958369864,0.095119449,0.16998718,0.39190656,0.820679032,0.099152341,0.038401773,0.355201482,0.942043664,0.03167794,0.585598084,0.015794181,0.797389747,0.604632491,0.091710054
0,0.488129479,0.518916267,0.547459714,0.597947506,0.597947506,0.46743162,0,0.168176647,0.168176647,0.168176647,0.218871135,0.323052982,0.099747578,0.164645628,0.122411343,0.877588657,0.099768756,0.163690521,0.393319916,0.846880272,0.033919963,0.076037075,0.351352508,0.928823726,0.044972547,0.607236835,0.019877914,0.786042687,0.597944089,0.030485744
0,0.469165895,0.547863061,0.516141121,0.61047291,0.61047291,0.467738607,0.109120356,0.176098774,0.176098774,0.176098774,0.210551196,0.31997595,0.096653367,0.173683814,0.116213683,0.883786317,0.096658361,0.172664203,0.393285995,0.755503983,0.00217961,0.027309642,0.344936704,0.934188186,0.031204175,0.580820895,0.040150421,0.802978469,0.610471774,0.032276295
0,0.48227953,0.552932839,0.540125274,0.619048992,0.619020165,0.462227926,0,0.165648308,0.165648308,0.165648308,0.21698024,0.318384381,0.102027522,0.17217745,0.152099646,0.847900354,0.101983487,0.17114094,0.396485833,0.756146613,0.041460898,0.074733074,0.341832133,0.931638648,0.040546409,0.570393896,0.044582633,0.802836624,0.619044363,0.023865991
0,0.464193438,0.526766245,0.5150704,0.605932631,0.605874977,0.460946294,0,0.171042097,0.171042097,0.171042097,0.210645741,0.316898918,0.097386206,0.167432402,0.158388004,0.841611996,0.09716319,0.166706885,0.39398702,0.756244703,0.038855129,0.089336666,0.339934345,0.929574206,0.026621944,0.560916714,0.045108807,0.790519359,0.605933585,0.022774349
0,0.475893336,0.540558221,0.52877563,0.600736534,0.600736534,0.464433876,0.097884401,0.174160381,0.174160381,0.174160381,0.215751158,0.319233218,0.096897647,0.171800859,0.100553255,0.899446745,0.096813067,0.170786517,0.393331223,0.834827305,0.091954131,0.044979554,0.344519243,0.933718216,0.019879244,0.577327506,0.015501967,0.800033865,0.600731528,0.037747762
0,0.473504607,0.514500654,0.52797259,0.595122443,0.595122443,0.461806866,0,0.172769795,0.172769795,0.172769795,0.20884939,0.317853859,0.092012051,0.165248174,0.0857998,0.9142002,0.09199277,0.164278712,0.388571041,0.790630965,0.067773623,0.065032002,0.341547439,0.927521695,0.011845128,0.567098753,0.028551561,0.784318912,0.595122147,0.044640214
0,0.503534344,0.5539686,0.551474918,0.620396662,0.620396662,0.46920309,0.294867902,0.176225191,0.176225191,0.176225191,0.222558381,0.322416354,0.108623076,0.177901634,0.113311364,0.886688636,0.108538115,0.176841867,0.403360394,0.800599525,0.004262318,0.045633441,0.349631177,0.932855984,0.050070674,0.597800155,0.021639194,0.808047123,0.620394227,0.03318426
0,0.478330815,0.545900567,0.53027464,0.604102106,0.604102106,0.461714602,0,0.186085711,0.186085711,0.186085711,0.218114777,0.317677018,0.095839101,0.173156587,0.065423104,0.934576896,0.09583598,0.172151421,0.393930486,0.758027888,0.003930078,0.031556182,0.341088099,0.941790765,0.006372529,0.565507575,0.038189267,0.803444357,0.604102763,0.058971162
0,0.496368157,0.549062364,0.545532416,0.61242595,0.612397123,0.467585952,0.341937443,0.186844212,0.186844212,0.186844212,0.220100217,0.324396972,0.108215943,0.176922498,0.140006651,0.859993349,0.108187992,0.175944499,0.393873951,0.803408187,0.035977881,0.057609156,0.347963497,0.940692863,0.044735553,0.597778021,0.02377858,0.802988533,0.612426531,0.026233588
0,0.544825233,0.588148713,0.589217838,0.600635639,0.600635639,0.471675767,0.236157506,0.183515233,0.183515233,0.183515233,0.234943746,0.329207045,0.119127107,0.191082323,0.102790459,0.897209541,0.1190988,0.189993213,0.424142376,0.781432705,0.027102603,0.076695831,0.362389959,0.942619685,0.016922462,0.637827388,0.033278508,0.827984673,0.600633493,0.036870926
0,0.520060449,0.56972307,0.563092243,0.636784906,0.636784906,0.472212576,0.285858893,0.176140913,0.176140913,0.176140913,0.225772903,0.325175073,0.109274489,0.182420728,0.082081204,0.917918796,0.108717247,0.180966745,0.394303611,0.799205296,0.082648357,0.060743851,0.363144618,0.939887837,0.099098533,0.625705912,0.025423652,0.818485753,0.636780633,0.046764118
0,0.488811973,0.546391191,0.537769688,0.623985644,0.623906369,0.485862627,0.281101326,0.187054907,0.187054907,0.187054907,0.219816583,0.3234774,0.099177591,0.176470588,0.098497445,0.901502555,0.099149934,0.175529749,0.397130323,0.775306441,0.00494094,0.015602396,0.351865093,0.940056133,0.024625739,0.600840719,0.017516192,0.805047866,0.623983014,0.038593594
